iter	Logloss
0	0.655907734
1	0.6219208785
2	0.5925623326
3	0.5693212372
4	0.5474099816
5	0.528391461
6	0.5135094956
7	0.5018260855
8	0.4907667098
9	0.4812809588
10	0.4728464385
11	0.4650727676
12	0.459096012
13	0.4533887944
14	0.448700082
15	0.4438758252
16	0.4395457483
17	0.4359116654
18	0.4330307641
19	0.4298701838
20	0.4281961508
21	0.4255510696
22	0.4234407303
23	0.4212878591
24	0.4193118944
25	0.4175499644
26	0.4162194263
27	0.4146884511
28	0.4130843948
29	0.4116975137
30	0.4105450219
31	0.409494055
32	0.4085358405
33	0.4075308983
34	0.4064171156
35	0.4055499238
36	0.4046230938
37	0.4038241231
38	0.4031850246
39	0.402159522
40	0.4013314918
41	0.4005129077
42	0.3998776263
43	0.3989569899
44	0.398282729
45	0.3977064901
46	0.3972566618
47	0.3966654639
48	0.3962758667
49	0.3958917726
50	0.3952638229
51	0.3949122101
52	0.3944507175
53	0.3938414672
54	0.3933786432
55	0.3928170575
56	0.3924028616
57	0.3918007576
58	0.3913792339
59	0.3909959169
60	0.3903872247
61	0.3899762592
62	0.3894436208
63	0.3890969942
64	0.3887797331
65	0.3885166047
66	0.3879814591
67	0.3876201291
68	0.3873965557
69	0.3870624618
70	0.3868663283
71	0.3863332845
72	0.3861641921
73	0.3859578884
74	0.3859411316
75	0.3857863072
76	0.3855587266
77	0.3853302708
78	0.3849457018
79	0.3847377915
80	0.3844830818
81	0.3841920352
82	0.383883322
83	0.3836845653
84	0.3834867035
85	0.3834664305
86	0.3830299495
87	0.3824867672
88	0.3822172594
89	0.3816352758
90	0.3814156715
91	0.3810875103
92	0.3808063701
93	0.3805832662
94	0.3804576247
95	0.3800401913
96	0.3796928178
97	0.3792296379
98	0.3789666707
99	0.3788328242
100	0.3786053333
101	0.3784601142
102	0.378166172
103	0.3775639862
104	0.3772453837
105	0.3769115707
106	0.3763473111
107	0.3761046812
108	0.3756819919
109	0.375486534
110	0.3753024268
111	0.3749196101
112	0.3745598599
113	0.3742363058
114	0.3738546762
115	0.3735957579
116	0.3733568748
117	0.3730732516
118	0.3726188052
119	0.3724641959
120	0.3721947528
121	0.3719722766
122	0.3717084696
123	0.3714829737
124	0.3713206163
125	0.3710837099
126	0.3706472819
127	0.3703791327
128	0.3700661567
129	0.3698405238
130	0.3695302419
131	0.369112814
132	0.3688604566
133	0.3682919549
134	0.3681323992
135	0.3679930255
136	0.3678583484
137	0.3675755013
138	0.3672849401
139	0.3667967849
140	0.3664832328
141	0.3662462388
142	0.3661264836
143	0.365893981
144	0.3655684613
145	0.365329558
146	0.3651621432
147	0.3649396257
148	0.36465509
149	0.3643106434
150	0.3640051497
151	0.3636434033
152	0.3634192921
153	0.3631993317
154	0.362734423
155	0.362518985
156	0.3621675403
157	0.3617052859
158	0.3615292641
159	0.3612529823
160	0.3608751283
161	0.3605148146
162	0.3601070455
163	0.3597265176
164	0.3595223232
165	0.3592856885
166	0.3589808022
167	0.3585371468
168	0.3582570192
169	0.3580675671
170	0.3575276639
171	0.3571955118
172	0.3569612701
173	0.3568526959
174	0.3565658495
175	0.3562914424
176	0.3560279783
177	0.3557978229
178	0.355566941
179	0.355274118
180	0.3549560609
181	0.3548397635
182	0.3545644931
183	0.3543124171
184	0.3540011561
185	0.3538145537
186	0.353621847
187	0.3532795406
188	0.3531435551
189	0.3527263531
190	0.3524381637
191	0.3522422569
192	0.3519110977
193	0.351567497
194	0.3512986415
195	0.3510090395
196	0.3508586675
197	0.3506271506
198	0.3505119749
199	0.3502823849
200	0.3500249579
201	0.3498721969
202	0.3496667145
203	0.3493657594
204	0.3489363931
205	0.3487044412
206	0.3485118539
207	0.3482303017
208	0.3479873724
209	0.3478699362
210	0.3477813761
211	0.3473793238
212	0.3471021773
213	0.3468244616
214	0.3467404045
215	0.346460084
216	0.3460692602
217	0.3458540286
218	0.3456882405
219	0.3453883622
220	0.3450064768
221	0.3446945089
222	0.3442937453
223	0.3440827613
224	0.3439374525
225	0.3436200601
226	0.3432648285
227	0.3428768889
228	0.3425330028
229	0.3422603654
230	0.3418701342
231	0.3415683502
232	0.3413724159
233	0.3410915048
234	0.3408723399
235	0.3406837582
236	0.3405260493
237	0.3402991906
238	0.3401468061
239	0.3397837064
240	0.3396115757
241	0.3394203556
242	0.3391826024
243	0.3387866736
244	0.3383735871
245	0.3380655596
246	0.3376624789
247	0.3374388092
248	0.3370623256
249	0.3369707942
250	0.3367060301
251	0.3363541693
252	0.3361464769
253	0.3358160651
254	0.3356415592
255	0.3355292936
256	0.3354031972
257	0.3350989821
258	0.3346906214
259	0.3342621388
260	0.3340692607
261	0.3338189314
262	0.3334194983
263	0.3332321098
264	0.3328295197
265	0.3325650012
266	0.3322970354
267	0.3319438936
268	0.3317178312
269	0.3315003788
270	0.3311706985
271	0.3308569658
272	0.3306238521
273	0.3303857659
274	0.3301768297
275	0.3300265653
276	0.3298570311
277	0.3295005519
278	0.3291948913
279	0.3290679747
280	0.3289664025
281	0.3288002988
282	0.328389396
283	0.3282075382
284	0.3280144784
285	0.3278385915
286	0.327518515
287	0.3272925517
288	0.3270484969
289	0.3268427222
290	0.3265908668
291	0.3264039189
292	0.3261174695
293	0.3259024228
294	0.3257311435
295	0.3253508175
296	0.325079108
297	0.32483965
298	0.3247164087
299	0.3246252746
300	0.3245291886
301	0.3242359851
302	0.3239592984
303	0.3237913246
304	0.3236825857
305	0.3235028986
306	0.3233870439
307	0.3231918082
308	0.3229578994
309	0.3227253153
310	0.3224887164
311	0.3221927071
312	0.3219090365
313	0.3216896697
314	0.3215019648
315	0.3211935872
316	0.3209452615
317	0.3207744716
318	0.320590059
319	0.3202473194
320	0.3199698486
321	0.3196526241
322	0.3194941315
323	0.3193861582
324	0.3191825522
325	0.3190670779
326	0.3188281059
327	0.318607003
328	0.3183750996
329	0.3180088553
330	0.3178088711
331	0.3176913878
332	0.3175810997
333	0.3174672413
334	0.3172243344
335	0.3169836959
336	0.3168382181
337	0.3166217648
338	0.3164393743
339	0.3161390378
340	0.3158340335
341	0.3155624988
342	0.3154210918
343	0.3152217923
344	0.3151056425
345	0.3146949068
346	0.3144894651
347	0.314271351
348	0.3139684133
349	0.3138179979
350	0.3136196695
351	0.3133137493
352	0.3130638334
353	0.312868425
354	0.3126759484
355	0.3124363683
356	0.3122112902
357	0.3119691913
358	0.3118352442
359	0.3116037459
360	0.3114213597
361	0.3112331703
362	0.3110103756
363	0.3106987852
364	0.3103656867
365	0.310211051
366	0.3099855317
367	0.3098783179
368	0.309595297
369	0.3094795325
370	0.3092287175
371	0.3091482801
372	0.3089614147
373	0.3087348327
374	0.3084629205
375	0.30820809
376	0.3080528242
377	0.3078374739
378	0.3076409079
379	0.3074004195
380	0.307179326
381	0.3069528947
382	0.3068116935
383	0.3065472667
384	0.3064577967
385	0.306233538
386	0.3059641502
387	0.3056884361
388	0.3054560324
389	0.3051856888
390	0.3050861295
391	0.3049845665
392	0.3047059612
393	0.304453246
394	0.304300855
395	0.3040886698
396	0.3040101224
397	0.3036330313
398	0.3035462512
399	0.3032802941
400	0.3030796584
401	0.3028720251
402	0.3026720919
403	0.3024649029
404	0.3022927996
405	0.3021513729
406	0.3018398731
407	0.3016546612
408	0.3014428948
409	0.3012863345
410	0.3011441429
411	0.3010242491
412	0.3009628283
413	0.3008194184
